refno,aquifer,wb_ft,rock_top_ft
275371,Bedrock,8,
275361,Bedrock,5,
279902,Bedrock,22,25
185740,Bedrock,8,22
329628,Bedrock,48,48
21650,Bedrock,49,
253020,Bedrock,20,25
43270,Bedrock,7,188
192728,Bedrock,15,130
266801,Bedrock,26,32
305834,Bedrock,10,
192661,Bedrock,33,85
351612,Bedrock,45,49
54611,Bedrock,36,138
275350,Bedrock,28,53
321538,Bedrock,61,
305494,Bedrock,3,72
188705,Bedrock,43,
361329,Bedrock,18,48
188981,Bedrock,2,
189325,Bedrock,3,
361313,Bedrock,21,
41772,Bedrock,3,
192731,Bedrock,28,
377076,Bedrock,16,32
189851,Bedrock,57,
188999,Bedrock,30,
362896,Bedrock,2,40
183651,Bedrock,11,
185681,Bedrock,1,
145546,Bedrock,15,38
322777,Bedrock,59,59
305840,Bedrock,30,90
321593,Bedrock,84,89
185799,Bedrock,6,15
336170,Bedrock,23,28
39405,Bedrock,62,
325221,Bedrock,41,41
86275,Bedrock,22,
184802,Bedrock,2,
266998,Bedrock,15,15
189813,Bedrock,4,4
49538,Bedrock,14,14
406732,Bedrock,7,58
145545,Bedrock,12,84
350698,Bedrock,115,
336143,Bedrock,8,
214322,Bedrock,17,97
370029,Bedrock,110,
182157,Bedrock,5,
175110,Bedrock,16,140
159259,Bedrock,12,12
361261,Bedrock,64,
22242,Bedrock,58,
321570,Bedrock,30,58
305203,Bedrock,67,
286600,Bedrock,75,75
49480,Bedrock,62,62
181269,Bedrock,2,
58796,Bedrock,29,79
174286,Bedrock,3,70
187434,Bedrock,51,86
174520,Bedrock,2,97
54595,Bedrock,17,86
20068,Bedrock,14,14
361309,Bedrock,81,
357537,Bedrock,29,29
71127,Bedrock,22,
175069,Bedrock,3,
350955,Bedrock,85,85
361269,Bedrock,96,96
377023,Bedrock,38,46
177629,Bedrock,60,0
177530,Bedrock,32,
347951,Bedrock,139,139
59236,Bedrock,1,
177614,Bedrock,12,45
257297,Bedrock,23,23
286455,Bedrock,15,15
307548,Bedrock,15,187
307549,Bedrock,3,40
59093,Bedrock,5,180
186812,Bedrock,4,
175575,Bedrock,19,
309287,Bedrock,27,36
377075,Bedrock,80,80
7634,Bedrock,37,40
54206,Bedrock,23,
177557,Bedrock,16,33
336313,Bedrock,60,
380530,Bedrock,2,8
303561,Bedrock,113,113
350763,Bedrock,72,72
177657,Bedrock,25,50
377044,Bedrock,17,30
22249,Bedrock,31,31
214325,Bedrock,62,62
321580,Bedrock,67,67
286477,Bedrock,42,42
323164,Bedrock,44,44
321585,Bedrock,65,65
336182,Bedrock,36,36
377057,Bedrock,2,39
329633,Bedrock,29,29
305213,Bedrock,53,53
274765,Bedrock,13,
377041,Bedrock,15,44
377036,Bedrock,4,41
321540,Bedrock,15,95
325220,Bedrock,67,67
347947,Bedrock,72,72
350953,Bedrock,42,42
303562,Bedrock,47,47
329635,Bedrock,52,52
214312,Bedrock,27,75
186876,Bedrock,7,
361282,Bedrock,38,44
305846,Bedrock,39,39
286493,Bedrock,35,35
361303,Bedrock,4,42
177937,Bedrock,4,18
377053,Bedrock,52,55
