refno,aquifer,v1_wb_ft,v2_uncon_ft,v2_rock_top_ft
213590,Bedrock,5,,20
211106,Bedrock,33,,33
211811,Bedrock,1,,33
210333,Bedrock,6,,6
113370,Bedrock,1,,55
215664,Bedrock,25,,16
212362,Bedrock,2,,20
215456,Bedrock,2,,24
211900,Bedrock,5,,5
213547,Bedrock,4,,18
374657,Bedrock,6,,26
213622,Bedrock,2,,10
215442,Bedrock,1,,10
362113,Bedrock,11,,18
215477,Bedrock,1,,25
215487,Bedrock,1,,25
211662,Bedrock,1,,45
360404,Bedrock,2,,54
212603,Bedrock,1,,42
211186,Bedrock,2,,21
211319,Bedrock,1,,58
15472,Bedrock,49,,18
210992,Bedrock,3,,67
212215,Bedrock,4,,19
357553,Bedrock,1,,34
212188,Bedrock,48,,10
210962,Bedrock,4,,42
209355,Bedrock,3,,59
212211,Bedrock,1,,14
145245,Bedrock,5,,20
205376,Bedrock,1,,31
205366,Bedrock,6,,45
205406,Bedrock,4,,55
212240,Bedrock,11,,16
208951,Bedrock,18,,18
205704,Bedrock,7,,17
209132,Bedrock,1,,6
210815,Bedrock,1,,14
209096,Bedrock,4,,17
27760,Bedrock,49,,4
205216,Bedrock,5,,30
205181,Bedrock,5,,30
346231,Bedrock,3,,45
346232,Bedrock,3,,45
203266,Bedrock,7,,27
208825,Bedrock,3,,21
15404,Bedrock,7,,26
209054,Bedrock,10,,10
377601,Bedrock,6,,15
212110,Bedrock,2,,18
211981,Bedrock,6,,28
203184,Bedrock,1,,52
375865,Bedrock,4,,13
21103,Bedrock,1,,36
15401,Bedrock,9,,30
212252,Bedrock,5,,20
210910,Bedrock,5,,45
427576,Bedrock,6,,67
349005,Bedrock,5,,108
15407,Bedrock,6,,21
208140,Bedrock,2,,38
203344,Bedrock,1,,30
211631,Bedrock,5,,45
200337,Bedrock,2,,11
197232,Bedrock,5,,48
197087,Bedrock,1,,41
354206,Bedrock,3,,35
197416,Bedrock,1,,68
353032,Bedrock,2,,43
200919,Bedrock,7,,40
209891,Bedrock,38,,38
208245,Bedrock,1,,50
377597,Bedrock,6,,37
199992,Bedrock,3,,28
199981,Bedrock,20,,24
200586,Bedrock,6,,22
199705,Bedrock,5,,10
197958,Bedrock,5,,5
200606,Bedrock,4,,25
207836,Bedrock,1,,1
196509,Bedrock,15,,52
200229,Bedrock,10,,24
352012,Bedrock,17,,10
199645,Bedrock,2,,62
257961,Bedrock,4,,36
196867,Bedrock,1,,12
369776,Bedrock,47,,13
200030,Bedrock,1,,20
200015,Bedrock,5,,25
200760,Bedrock,1,,83
193971,Bedrock,28,,49
202915,Bedrock,8,,54
198871,Bedrock,1,,31
197910,Bedrock,3,,47
233102,Bedrock,13,,38
193559,Bedrock,1,,176
194469,Bedrock,2,,65
195530,Bedrock,3,,8
320944,Bedrock,5,,54
197802,Bedrock,3,,70
18207,Bedrock,20,,13
198910,Bedrock,2,,22
194466,Bedrock,2,,56
198706,Bedrock,7,,41
389037,Bedrock,1,,32
198944,Bedrock,3,,70
364204,Bedrock,3,,66
198746,Bedrock,2,,52
14663,Bedrock,18,,30
198427,Bedrock,1,,32
198447,Bedrock,1,,21
14454,Bedrock,5,,18
196353,Bedrock,2,,50
194624,Bedrock,3,,33
198548,Bedrock,11,,25
195354,Bedrock,5,,111
56438,Bedrock,2,,15
75411,Bedrock,3,,28
196286,Bedrock,4,,35
305858,Bedrock,2,,2
305859,Bedrock,2,,2
194664,Bedrock,4,,24
189190,Bedrock,4,,44
185596,Bedrock,29,,79
185525,Bedrock,2,,14
186707,Bedrock,6,,30
185495,Bedrock,1,,15
186671,Bedrock,2,,68
214941,Bedrock,4,,36
383526,Bedrock,5,,39
185500,Bedrock,4,,20
43374,Bedrock,5,,182
43307,Bedrock,4,,114
185768,Bedrock,5,,14
315651,Bedrock,6,,75
335158,Bedrock,6,,107
275361,Bedrock,5,,30
185740,Bedrock,8,,8
21650,Bedrock,49,,72
43270,Bedrock,7,,188
305494,Bedrock,3,,72
188981,Bedrock,2,,105
189325,Bedrock,3,,79
41772,Bedrock,3,,230
362896,Bedrock,2,,30
183651,Bedrock,11,,11
185681,Bedrock,1,,65
185799,Bedrock,6,,15
184802,Bedrock,2,,44
189813,Bedrock,4,,4
406732,Bedrock,7,,58
182157,Bedrock,5,,122
22242,Bedrock,58,,89
181269,Bedrock,2,,170
174286,Bedrock,3,,70
174520,Bedrock,2,,97
175069,Bedrock,3,,92
59236,Bedrock,1,,205
307549,Bedrock,3,,37
59093,Bedrock,5,,180
186812,Bedrock,4,,30
380530,Bedrock,2,,8
177657,Bedrock,25,,25
377057,Bedrock,2,,39
274765,Bedrock,13,,13
377036,Bedrock,4,,41
186876,Bedrock,7,,78
361303,Bedrock,4,,42
177937,Bedrock,4,,18
419729,Bedrock,3,,20
175375,Bedrock,5,,62
175578,Bedrock,9,,14
182239,Bedrock,6,,195
377513,Bedrock,27,,69
230760,Bedrock,5,,104
201611,Bedrock,50,,25
159273,Bedrock,4,,38
